,Province,City,District / County,Post Code,Address,Latitude,Longitude
204,Fujian,Sanming,Ninghua,365400,"Ninghua,Sanming,Fujian,China",26.3165514,116.651459539305
205,Fujian,Sanming,Datian County,366100,"Datian County,Sanming,Fujian,China",25.695655,117.8422453
206,Fujian,Sanming,Shaxian,365500,"Shaxian,Sanming,Fujian,China",26.39259,117.77236
207,Fujian,Sanming,Jiangle,353300,"Jiangle,Sanming,Fujian,China",26.7318594,117.4663942
208,Fujian,Sanming,Jianning,354500,"Jianning,Sanming,Fujian,China",26.8342826,116.841406
209,Fujian,Sanming,Yongan City,366000,"Yongan City,Sanming,Fujian,China",25.9438841,117.3601018
210,Fujian,Zhangzhou,Xiangcheng District,363000,"Xiangcheng District,Zhangzhou,Fujian,China",24.5136973,117.6491194
211,Fujian,Zhangzhou,Zhangpu County,363200,"Zhangpu County,Zhangzhou,Fujian,China",24.1201316,117.6086533
212,Fujian,Zhangzhou,Dongshan,363400,"Dongshan,Zhangzhou,Fujian,China",23.7036247,117.4248448
213,Fujian,Zhangzhou,Huaan,363800,"Huaan,Zhangzhou,Fujian,China",25.0074201,117.5300437
214,Fujian,Zhangzhou,Longwen District,363000,"Longwen District,Zhangzhou,Fujian,China",24.5053585,117.7060415
215,Fujian,Zhangzhou,Yunxiao,363300,"Yunxiao,Zhangzhou,Fujian,China",23.9603904,117.3350471
216,Fujian,Zhangzhou,Zhaoan,363500,"Zhaoan,Zhangzhou,Fujian,China",23.7136879,117.1703813
217,Fujian,Zhangzhou,Changtai,363900,"Changtai,Zhangzhou,Fujian,China",24.6284169,117.7541918
218,Fujian,Zhangzhou,Nanjing,363600,"Nanjing,Zhangzhou,Fujian,China",24.5167811,117.3523949
219,Fujian,Zhangzhou,Pinghe,363700,"Pinghe,Zhangzhou,Fujian,China",24.3659798,117.3095011
220,Fujian,Zhangzhou,Longhai,363100,"Longhai,Zhangzhou,Fujian,China",24.4490237,117.8132438
221,Fujian,Nanping,Yanping District,353000,"Yanping District,Nanping,Fujian,China",26.6408323,118.1778773
222,Fujian,Nanping,Guangze County,354100,"Guangze County,Nanping,Fujian,China",27.5423226,117.3274109
223,Fujian,Nanping,Shaowu,354000,"Shaowu,Nanping,Fujian,China",27.3437632,117.4871877
224,Fujian,Nanping,Jianyang,354200,"Jianyang,Nanping,Fujian,China",27.3348608,118.1152714
225,Fujian,Nanping,Shunchang,353200,"Shunchang,Nanping,Fujian,China",26.7965076,117.805262
226,Fujian,Nanping,Pucheng,353400,"Pucheng,Nanping,Fujian,China",27.920665,118.5364676
227,Fujian,Nanping,Songxi,353500,"Songxi,Nanping,Fujian,China",27.5297298,118.7804371
228,Fujian,Nanping,Zhenghe,353600,"Zhenghe,Nanping,Fujian,China",27.3668621,118.8523942
